turns,storeChars,retainedGlyphs,retainedNodes,frameGlyphs,fps,frameMsAvg,wasmMiB,phAdvance,phBfLayout,phBfGrid,phBfEmit,phBfTotal,phAdvIngest,phAdvRoles,phAdvReveal,phAdvEnsure,phAdvSchedule,tierHot,tierWarm,rebuilds
2,5034,4536,654,2146,8,76.15,21.7,0.2,0,0.1,0.2,0.3,0,0,0,0,0.2,2,0,0
15,37980,34245,4905,2182,50,7.27,21.7,0.2,0.2,0.1,0.5,0.8,0,0,0,0,0.2,15,0,0
31,78972,71253,10137,2182,59,6.75,21.7,0.1,0.3,0.2,0.4,0.9,0.1,0,0,0,0,31,0,0
47,119964,108261,15369,2182,59,6.59,21.7,0.1,0.3,0.2,0.3,0.8,0.1,0,0,0,0,47,0,0
63,160956,145269,20601,2182,57,6.55,22.8,7.1,0.2,0.1,0.3,0.6,0.8,0,1.1,5.1,0.1,63,0,1
78,199386,179964,25506,2182,55,6.27,26.9,6.1,0.2,0.1,0.2,0.5,0.7,0.1,0.6,4.6,0.1,78,0,1
91,232692,210033,29757,2182,51,6.7,30.4,0.2,0.4,0.3,0.3,1,0.1,0,0,0,0.1,91,0,0
104,266178,240282,34008,2224,47,6.81,34,7,0.3,0.2,0.2,0.7,0.5,0,1,5.3,0.2,104,0,1
120,307890,278010,39240,2224,60,7,38.4,0.1,0.4,0.3,0.2,0.9,0.1,0,0,0,0,120,0,0
134,344388,311022,43818,2224,51,7.12,41.9,7.5,0.3,0.2,0.3,0.8,0.7,0,1.4,5.1,0.2,134,0,1
149,383493,346392,48723,2224,55,7.13,46,7.3,0.5,0.4,0.3,1.2,0.8,0,1.3,5.1,0.1,149,0,1
163,419991,379404,53301,2224,54,7.23,49.9,0.2,0.7,0.5,0.3,1.5,0.1,0,0,0,0.1,163,0,0
176,453882,410058,57552,2224,48,7.31,53.5,0.2,0.6,0.4,0.3,1.3,0.2,0,0,0,0,176,0,0
192,495594,447786,62784,2224,60,7.54,57.9,0.3,0.8,0.5,0.4,1.7,0.2,0,0,0,0.1,192,0,0
192,495594,447786,62784,2224,60,7.54,60.1,0.3,0.8,0.5,0.4,1.7,0.2,0,0,0,0.1,192,0,0
200,516450,466650,65400,2224,36,6.96,60.1,0.3,0.6,0.4,0.3,1.3,0.2,0,0,0,0.1,200,0,0
200,516450,466650,65400,2224,50,6.15,60.1,0.3,0.9,0.5,0.4,1.8,0.2,0.1,0,0,0,200,0,0
200,516450,466650,65400,2224,47,6,60.1,0.4,0.8,0.5,0.5,1.8,0.3,0.1,0,0,0,200,0,0
200,516450,466650,65400,2224,55,6.23,60.1,0.3,0.8,0.5,0.4,1.7,0.1,0.1,0,0,0.1,200,0,0
200,516450,466650,65400,2224,55,6.19,60.1,0.2,0.5,0.3,0.3,1.1,0.1,0.1,0,0,0,200,0,0
200,516450,466650,65400,2224,29,5.87,60.1,0.3,0.6,0.5,0.2,1.3,0.2,0,0,0,0.1,200,0,0
200,516450,466650,65400,2224,47,6.21,60.1,0.2,0.5,0.4,0.2,1.1,0.2,0,0,0,0,200,0,0
200,516450,466650,65400,2224,55,6.38,60.1,0.2,0.6,0.4,0.3,1.3,0.1,0,0,0,0.1,200,0,0
200,516450,466650,65400,2224,46,6.23,60.1,0.2,0.7,0.5,0.3,1.5,0.2,0,0,0,0,200,0,0